,appid,total_playtime,appname,lat,lon,country
0,220,181,Half-Life 2,34.1667451,132.2191641,JP
33,4000,5538,Garry's Mod,34.1667451,132.2191641,JP
39,10180,32,Call of Duty: Modern Warfare 2,34.1667451,132.2191641,JP
42,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
72,8190,79,Just Cause 2,34.1667451,132.2191641,JP
74,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
102,42700,462,Call of Duty: Black Ops,34.1667451,132.2191641,JP
103,42710,1348,Call of Duty: Black Ops - Multiplayer,34.1667451,132.2191641,JP
104,31280,125,Poker Night at the Inventory,34.1667451,132.2191641,JP
124,620,526,Portal 2,34.1667451,132.2191641,JP
133,105600,78,Terraria,34.1667451,132.2191641,JP
138,110800,498,L.A. Noire,34.1667451,132.2191641,JP
154,202170,732,Sleeping Dogs™,34.1667451,132.2191641,JP
171,49520,1674,Borderlands 2,34.1667451,132.2191641,JP
187,730,1494,Counter-Strike: Global Offensive,34.1667451,132.2191641,JP
214,204360,117,Castle Crashers,34.1667451,132.2191641,JP
215,202970,35,Call of Duty: Black Ops II,34.1667451,132.2191641,JP
218,202990,6016,Call of Duty: Black Ops II - Multiplayer,34.1667451,132.2191641,JP
220,219150,9,Hotline Miami,34.1667451,132.2191641,JP
221,55230,4241,Saints Row: The Third,34.1667451,132.2191641,JP
230,214510,138,LEGO® The Lord of the Rings™,34.1667451,132.2191641,JP
234,99900,47,Spiral Knights,34.1667451,132.2191641,JP
239,113400,42284,APB Reloaded,34.1667451,132.2191641,JP
268,200210,157,Realm of the Mad God Exalt,34.1667451,132.2191641,JP
271,206210,360,Gotham City Impostors: Free To Play,34.1667451,132.2191641,JP
274,208090,663,Loadout,34.1667451,132.2191641,JP
283,248570,117,Toribash,34.1667451,132.2191641,JP
285,239220,101,The Mighty Quest For Epic Loot,34.1667451,132.2191641,JP
288,224220,282,Pressure,34.1667451,132.2191641,JP
299,203160,685,Tomb Raider,34.1667451,132.2191641,JP
